text,label,revised_label,valence,arousal,sentiment,speaker_utterance,predictions_ER,predictions_IP,predictions_EX,response,reason,who,emotional_reaction,interpretations,explorations,classification_label
That sounds very interesting. And do you often go for walks with your dog?,0,0,0.5,0.2,neutral,this is a dummy text,1,0,2,"{
    ""reason"": ""The speaker is showing interest in the other person's activity and asking a question to explore the situation, but not explicitly expressing any emotion or providing understanding of the person's feelings."",
    ""arousal"": 0.2,
    ""valence"": 0.5,
    ""who"": 2,
    ""sentiment"": ""neutral"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 1,
    ""classification_label"": 0
}","The speaker is showing interest in the other person's activity and asking a question to explore the situation, but not explicitly expressing any emotion or providing understanding of the person's feelings.",2,0,0,1,0
How long have you been together?,0,0,0.0,-0.5,neutral,this is a dummy text,0,0,2,"{
    ""reason"": ""The speaker is inquiring about the duration of a relationship, but this is not an expression of emotional state nor does it specifically seek a response that acknowledges the person's emotions or provides emotional support."",
    ""arousal"": -0.5,
    ""valence"": 0.0,
    ""who"": 2,
    ""sentiment"": ""neutral"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 0
}","The speaker is inquiring about the duration of a relationship, but this is not an expression of emotional state nor does it specifically seek a response that acknowledges the person's emotions or provides emotional support.",2,0,0,0,0
how can they do that?,0,0,-0.5,0.5,negative,this is a dummy text,0,0,1,"{
    ""reason"": ""The speaker is expressing surprise and possibly frustration about a situation, but not explicitly stating their emotions or asking for understanding."",
    ""arousal"": 0.5,
    ""valence"": -0.5,
    ""who"": 2,
    ""sentiment"": ""negative"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 0
}","The speaker is expressing surprise and possibly frustration about a situation, but not explicitly stating their emotions or asking for understanding.",2,0,0,0,0
I hope that I can be there with you. Maybe can make you feel better.,0,2,0.5,0.5,positive,this is a dummy text,1,0,0,"{
    ""reason"": ""The speaker is expressing a desire to support and comfort the other person, indicating a willingness to understand and share their feelings."",
    ""arousal"": 0.5,
    ""valence"": 0.5,
    ""who"": 1,
    ""sentiment"": ""positive"",
    ""emotional_reaction"": 2,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 2
}","The speaker is expressing a desire to support and comfort the other person, indicating a willingness to understand and share their feelings.",1,2,0,0,2
it's great to hear that who do you go there with?,0,2,1.0,0.5,positive,this is a dummy text,1,0,2,"{
    ""reason"": ""The speaker is expressing happiness for someone and then asks a question about their experience, demonstrating an interest in the other person's feelings and situation."",
    ""arousal"": 0.5,
    ""valence"": 1,
    ""who"": 2,
    ""sentiment"": ""positive"",
    ""emotional_reaction"": 1,
    ""interpretations"": 0,
    ""explorations"": 1,
    ""classification_label"": 2
}","The speaker is expressing happiness for someone and then asks a question about their experience, demonstrating an interest in the other person's feelings and situation.",2,1,0,1,2
That sounds very good.,0,0,0.8,0.2,positive,this is a dummy text,1,0,0,"{
    ""reason"": ""The speaker is responding to a situation or statement that has a positive sentiment and they are acknowledging that the situation is good, but not necessarily expressing empathy or asking for it. "",
    ""arousal"": 0.2,
    ""valence"": 0.8,
    ""who"": 2,
    ""sentiment"": ""positive"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 0
}","The speaker is responding to a situation or statement that has a positive sentiment and they are acknowledging that the situation is good, but not necessarily expressing empathy or asking for it. ",2,0,0,0,0
so scary I'm also afraid of spider a lot,0,2,-0.5,0.5,negative,this is a dummy text,0,2,0,"{
    ""reason"": ""The speaker shares their own fear of spiders to show understanding and solidarity, thus providing empathy to the person who might have expressed fear of spiders."",
    ""arousal"": 0.5,
    ""valence"": -0.5,
    ""who"": 2,
    ""sentiment"": ""negative"",
    ""emotional_reaction"": 2,
    ""interpretations"": 1,
    ""explorations"": 0,
    ""classification_label"": 2
}","The speaker shares their own fear of spiders to show understanding and solidarity, thus providing empathy to the person who might have expressed fear of spiders.",2,2,1,0,2
I will immediately run away if I saw a spider,0,0,-0.8,0.4,negative,this is a dummy text,0,2,0,"{
    ""reason"": ""The speaker is stating a personal reaction to a hypothetical situation, but this statement doesn't seek to be understood or validated by another person, nor does it express any desire for empathy or attempt to understand the feelings of another. The statement is straightforward and fact-oriented."",
    ""arousal"": 0.4,
    ""valence"": -0.8,
    ""who"": 0,
    ""sentiment"": ""negative"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 0
}","The speaker is stating a personal reaction to a hypothetical situation, but this statement doesn't seek to be understood or validated by another person, nor does it express any desire for empathy or attempt to understand the feelings of another. The statement is straightforward and fact-oriented.",0,0,0,0,0
That's really common in Japan. People will find it and help you.,0,0,0.8,0.2,positive,this is a dummy text,0,0,0,"{
    ""reason"": ""The speaker is providing reassurance and acknowledging a potentially stressful situation, but not directly addressing the emotions or feelings of the person they're talking to."",
    ""arousal"": 0.2,
    ""valence"": 0.8,
    ""who"": 2,
    ""sentiment"": ""positive"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 0
}","The speaker is providing reassurance and acknowledging a potentially stressful situation, but not directly addressing the emotions or feelings of the person they're talking to.",2,0,0,0,0
That's great.,0,0,1.0,0.5,positive,this is a dummy text,1,0,0,"{
    ""reason"": ""The speaker is expressing a positive sentiment, but it does not seem to be directed at understanding or acknowledging another person's emotions. It could be a response to good news or a positive situation, but the context is lacking. Assuming this is a standalone statement, it does not seem to be seeking empathy or providing empathy explicitly. "",
    ""arousal"": 0.5,
    ""valence"": 1,
    ""who"": 2,
    ""sentiment"": ""positive"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 0
}","The speaker is expressing a positive sentiment, but it does not seem to be directed at understanding or acknowledging another person's emotions. It could be a response to good news or a positive situation, but the context is lacking. Assuming this is a standalone statement, it does not seem to be seeking empathy or providing empathy explicitly. ",2,0,0,0,0
I agree. I also don't want to work overtime.,0,0,-0.5,0.3,neutral,this is a dummy text,1,2,0,"{
    ""reason"": ""The speaker agrees and shares a similar feeling about not wanting to work overtime, but does not explicitly seek or provide empathy to another person's emotional state."",
    ""arousal"": 0.3,
    ""valence"": -0.5,
    ""who"": 0,
    ""sentiment"": ""neutral"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 0
}","The speaker agrees and shares a similar feeling about not wanting to work overtime, but does not explicitly seek or provide empathy to another person's emotional state.",0,0,0,0,0
"Yes, true.",0,0,0.0,0.0,neutral,this is a dummy text,1,2,0,"{
    ""reason"": ""The utterance 'Yes, true.' is a straightforward acknowledgment of a statement and lacks any emotional expression or attempt to understand another person's feelings."",
    ""arousal"": 0,
    ""valence"": 0,
    ""who"": 2,
    ""sentiment"": ""neutral"",
    ""emotional_reaction"": 0,
    ""interpretations"": 0,
    ""explorations"": 0,
    ""classification_label"": 0
}","The utterance 'Yes, true.' is a straightforward acknowledgment of a statement and lacks any emotional expression or attempt to understand another person's feelings.",2,0,0,0,0
